,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month, funded_quarter ,funded_year, raised_amount_usd ,Unnamed: 16
75946,/organization/u-grok-it,U Grok It - Smartphone RFID,|Intellectual Asset Management|Network Security|Business Services|Retail|RFID|Mobile|,Mobile,USA,CO,Vail,Steamboat Springs,/funding-round/c8f8fc05e0e54b1dbe9b8aa4b5b88431,seed,,2013-03-06,2013-03, 2013-Q1 ,2013.0," 200,000 ",
9833,/organization/bloves,BLOVES,|Manufacturing|,Manufacturing,,,,,/funding-round/55ad3d51a68a77dc7b20fd1fd7d40f8b,venture,,2011-04-01,2011-04, 2011-Q2 ,2011.0,,
13329,/organization/cellcap-technologies,CellCap Technologies,|Biotechnology|,Biotechnology,GBR,,GBR - Other,Bacup,/funding-round/a16822a72ac9ea022e81aeb1c7814f1b,venture,,2012-07-12,2012-07, 2012-Q3 ,2012.0," 115,819 ",
6166,/organization/astute-networks,Astute Networks,|Enterprise Software|,Enterprise Software,USA,CA,San Diego,San Diego,/funding-round/8736f0affcd495e1e9a9d854a70764ec,venture,B,2012-06-17,2012-06, 2012-Q2 ,2012.0," 12,000,000 ",
44695,/organization/metropia,Metropia Inc.,|Transportation|Public Transportation|,Transportation,USA,AZ,Tucson,Tucson,/funding-round/b91f73a9629b2f96f351ff2a0bc508fb,convertible_note,,2014-06-19,2014-06, 2014-Q2 ,2014.0," 500,000 ",
14749,/organization/civitas-therapeutics,Civitas Therapeutics,|Biotechnology|,Biotechnology,USA,MA,Boston,Chelsea,/funding-round/48b9de528b1619b7cb9dfbd77b818f39,venture,A,2011-05-03,2011-05, 2011-Q2 ,2011.0," 8,000,000 ",
14677,/organization/cityin,CityIN,|Reviews and Recommendations|Networking|Social Media|,Social Media,CHN,,CHN - Other,,/funding-round/c62b6fdac1509e16a6ae57645116439a,angel,,2007-01-01,2007-01, 2007-Q1 ,2007.0,,
67161,/organization/soldsie,Soldsie,|Social Commerce|Social Media|Facebook Applications|E-Commerce|Software|,E-Commerce,USA,CA,SF Bay Area,San Francisco,/funding-round/e1b529dd884262178275da7a28234eab,venture,A,2014-05-16,2014-05, 2014-Q2 ,2014.0," 4,000,000 ",
42538,/organization/maestrano,Maestrano,|Marketplaces|Cloud Computing|Apps|B2B|Enterprises|Enterprise Software|,Enterprises,AUS,,Sydney,Sydney,/funding-round/e8d480c79c541b017158cb399e6c6936,venture,A,2013-12-22,2013-12, 2013-Q4 ,2013.0," 941,964 ",
45108,/organization/mimesis-republic,Mimesis Republic,|Entertainment|Games|,Entertainment,,,,,/funding-round/e5d4238f7d08d46f6295b06502b5f1bb,seed,,2010-05-01,2010-05, 2010-Q2 ,2010.0," 575,608 ",
20016,/organization/dexetra,Dexetra,|Android|Software|,Android,IND,,Cochin,Cochin,/funding-round/4fcc2a28d810de04b7a400060de52eb7,venture,A,2013-01-31,2013-01, 2013-Q1 ,2013.0," 1,000,000 ",
33634,/organization/iexplore,iExplore,|Travel & Tourism|,Travel & Tourism,USA,IL,Chicago,Chicago,/funding-round/aa148c5b500c22608978d1e88849c4ec,undisclosed,,2000-02-29,2000-02, 2000-Q1 ,2000.0," 12,500,000 ",
