,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
40320,,,,,,,,,,,,,,,,,,,,,,
28447,,,,,,,,,,,,,,,,,,,,,,
24818,,,,,,,,,,,,,,,,,,,,,,
53178,,,,,,,,,,,,,,,,,,,,,,
38644,,,,,,,,,,,,,,,,,,,,,,
35278,,,,,,,,,,,,,,,,,,,,,,
51995,,,,,,,,,,,,,,,,,,,,,,
5476,/organization/imity,imity,|Social Network Media|Open Source|Mobile|,Mobile,DNK,,Copenhagen,Copenhagen,/organization/zyb,ZYB,|Social Network Media|Networking|Mobile|,Social Network Media,DNK,,Copenhagen,Copenhagen,2008-04-22,2008-04,2008-Q2,2008.0,,USD
28409,,,,,,,,,,,,,,,,,,,,,,
9860,/organization/salesquest,SalesQuest,|Business Intelligence|Sales and Marketing|Information Services|,Information Services,USA,MA,Boston,Andover,/organization/avention,Avention,|Big Data Analytics|Big Data|Email Marketing|Analytics|,Email Marketing,USA,MA,Boston,Concord,2014-01-07,2014-01,2014-Q1,2014.0,,USD
6237,/organization/kiss-insights,Kiss Insights,|Consumer Behavior|Web Tools|Surveys|,Surveys,,,,,/organization/catchfree,CatchFree,|File Sharing|Software|Curated Web|,File Sharing,USA,CA,Anaheim,Newport Beach,2012-06-14,2012-06,2012-Q2,2012.0,,USD
30601,,,,,,,,,,,,,,,,,,,,,,
24060,,,,,,,,,,,,,,,,,,,,,,
50452,,,,,,,,,,,,,,,,,,,,,,
1549,/organization/bladelogic,BladeLogic,|Infrastructure|Software|,Infrastructure,USA,TX,Houston,Houston,/organization/bmc-software,BMC Software,|Software|,Software,USA,TX,Houston,Houston,2008-03-17,2008-03,2008-Q1,2008.0," 800,000,000 ",USD
41340,,,,,,,,,,,,,,,,,,,,,,
32693,,,,,,,,,,,,,,,,,,,,,,
35956,,,,,,,,,,,,,,,,,,,,,,
8052,/organization/numonyx,Numonyx,|Hardware|Semiconductors|,Hardware,CHE,,CHE - Other,Rolle,/organization/micron-technology,Micron Technology,|Semiconductors|,Semiconductors,USA,ID,Boise,Boise,2010-02-09,2010-02,2010-Q1,2010.0," 1,270,000,000 ",USD
40388,,,,,,,,,,,,,,,,,,,,,,
28219,,,,,,,,,,,,,,,,,,,,,,
34894,,,,,,,,,,,,,,,,,,,,,,
2671,/organization/conferenceplus,ConferencePlus,|Public Relations|,Public Relations,USA,IL,Chicago,Schaumburg,/organization/arkadin,Arkadin,|Enterprise Software|,Enterprise Software,USA,NY,New York City,New York,2011-12-21,2011-12,2011-Q4,2011.0,,USD
3453,/organization/dragonplay,Dragonplay,|Social Games|Android|Games|,Games,ISR,,Tel Aviv,Tel Aviv,/organization/bally-technologies,Bally Technologies,|Games|,Games,USA,NV,Las Vegas,Las Vegas,2014-06-05,2014-06,2014-Q2,2014.0," 100,000,000 ",USD
16170,,,,,,,,,,,,,,,,,,,,,,
37088,,,,,,,,,,,,,,,,,,,,,,
52201,,,,,,,,,,,,,,,,,,,,,,
30572,,,,,,,,,,,,,,,,,,,,,,
49842,,,,,,,,,,,,,,,,,,,,,,
53160,,,,,,,,,,,,,,,,,,,,,,
49342,,,,,,,,,,,,,,,,,,,,,,
29003,,,,,,,,,,,,,,,,,,,,,,
35703,,,,,,,,,,,,,,,,,,,,,,
33626,,,,,,,,,,,,,,,,,,,,,,
35254,,,,,,,,,,,,,,,,,,,,,,
45927,,,,,,,,,,,,,,,,,,,,,,
17031,,,,,,,,,,,,,,,,,,,,,,
